"Player","RacePoints","PlacePoints","PenaltyPoints","Total","MatchId"
"Infa",11,0,0,11,51
"Pony",23,4,0,27,52
"Schlanks",9,0,0,9,52
"Grey",27,8,0,35,52
"Yale",37,12,0,49,52
"Alex",31,12,0,43,53
"David",20,4,0,24,53
"Dan",28,8,0,36,53
"Infa",17,0,0,17,53
"Grey",25,4,0,29,54
"Yale",32,12,0,44,54
"Andrew",13,0,0,13,54
"Bowser",26,8,0,34,54
"Alex",28,8,0,36,55
"Mauro",18,0,0,18,55
"Dan",23,4,0,27,55
"Kenshin",29,12,0,41,55
"Yale",26,12,0,38,56
"Justase",24,8,0,32,56
"Hattok",23,2,0,25,56
"Bowser",23,2,0,25,56
"Hattok",29,8,0,37,57
"Jed",10,0,0,10,57
"Grey",31,12,0,43,57
"Justase",26,4,0,30,57
"Bowser",17,0,0,17,58
"Tom",25,8,0,33,58
"Simon",34,12,0,46,58
"Jabon",20,4,0,24,58
"Andrew",9,0,0,9,59
"Bowser",20,4,0,24,59
"Simon",35,12,0,47,59
"Jabon",32,8,0,40,59
"Simon",29,12,0,41,60
"Wahmaster",18,0,0,18,60
"Zoki",24,4,0,28,60
"Jabon",25,8,0,33,60
"Hattok",16,0,0,16,61
"Tom",24,8,0,32,61
"Bowser",21,4,0,25,61
"Simon",35,12,0,47,61
"Pony",24,4,0,28,62
"Bowser",17,0,0,17,62
"Wahmaster",25,8,0,33,62
"Jabon",30,12,0,42,62
"Alex",37,12,0,49,63
"Glass",16,2,0,18,63
"David",27,8,0,35,63
"Denvar",16,2,0,18,63
"David",32,12,0,44,64
"Andrew",17,0,0,17,64
"Denvar",19,4,0,23,64
"Glass",28,8,0,36,64
"Cheech",34,12,0,46,65
"Bowser",28,8,0,36,65
"Andrew",23,4,0,27,65
"Jed",12,0,0,12,65
"Grey",17,0,0,17,66
"Tom",22,4,0,26,66
"Hattok",24,8,0,32,66
"Jabon",33,12,0,45,66
"Grey",18,0,0,18,67
"Tom",30,12,0,42,67
"Hattok",26,8,0,34,67
"Pokermon",22,4,0,26,67
"Pokermon",32,12,0,44,68
"Andrew",22,4,0,26,68
"Grey",19,0,0,19,68
"Hattok",23,8,0,31,68
"Andrew",15,4,0,19,69
"Velizer0",33,8,0,41,69
"Denvar",13,0,0,13,69
"Justase",35,12,0,47,69
"Pokermon",22,4,0,26,70
"Zoki",35,12,0,47,70
"Andrew",10,0,0,10,70
"Jabon",29,8,0,37,70
"Pokermon",24,8,0,32,71
"Andrew",18,0,0,18,71
"Zoki",33,12,0,45,71
"Jabon",21,4,0,25,71
"Schlanks",15,0,0,15,72
"MrPonytale",26,6,0,32,72
"Yale",29,12,0,41,72
"Aria",26,6,0,32,72
"Aria",22,4,0,26,73
"Grey",29,12,0,41,73
"Schlanks",20,0,0,20,73
"Andrew",25,8,0,33,73
"Pokermon",32,12,0,44,74
"Justase",24,6,0,30,74
"Hattok",24,6,0,30,74
"Glass",16,0,0,16,74
"Pokermon",28,8,0,36,75
"Justase",23,4,0,27,75
"Glass",15,0,0,15,75
"Grey",30,12,0,42,75
"Hattok",24,8,0,32,76
"Andrew",18,0,0,18,76
"Itachi",33,12,0,45,76
"Velizer0",21,4,0,25,76
"Pokermon",22,4,0,26,77
"Aria",15,0,0,15,77
"Zoki",31,12,0,43,77
"Jabon",28,8,0,36,77
"Pokermon",17,2,0,19,78
"Aria",17,2,0,19,78
"Zoki",27,8,0,35,78
"Jabon",35,12,0,47,78
"David",19,2,0,21,79
"Jabon",36,12,0,48,79
"Fx64",19,2,0,21,79
"Velizer0",22,8,0,30,79
"David",18,4,0,22,80
"Fx64",13,0,0,13,80
"Jabon",38,12,0,50,80
"Velizer0",27,8,0,35,80
